,material,compatibility,chemical
0,,,Zinc Hydrosulfite
1,ABS plastic,A - Excellent,Zinc Hydrosulfite
2,Acetal (Delrin®),C - Fair,Zinc Hydrosulfite
3,Aluminum,D - Poor,Zinc Hydrosulfite
4,Brass,D - Poor,Zinc Hydrosulfite
5,Bronze,B1 - Good,Zinc Hydrosulfite
6,Buna N (Nitrile),A - Excellent,Zinc Hydrosulfite
7,Carbon graphite,A - Excellent,Zinc Hydrosulfite
8,Carbon Steel,D - Poor,Zinc Hydrosulfite
9,Carpenter 20,D - Poor,Zinc Hydrosulfite
10,Cast iron,D - Poor,Zinc Hydrosulfite
11,Ceramic Al203,D - Poor,Zinc Hydrosulfite
12,Ceramic magnet,N/A,Zinc Hydrosulfite
13,ChemRaz (FFKM),A - Excellent,Zinc Hydrosulfite
14,Copper,C - Fair,Zinc Hydrosulfite
15,CPVC,A - Excellent,Zinc Hydrosulfite
16,EPDM,A - Excellent,Zinc Hydrosulfite
17,Epoxy,A - Excellent,Zinc Hydrosulfite
18,Fluorocarbon (FKM),A - Excellent,Zinc Hydrosulfite
19,Hastelloy-C®,B - Good,Zinc Hydrosulfite
20,Hypalon®,A - Excellent,Zinc Hydrosulfite
21,Hytrel®,A - Excellent,Zinc Hydrosulfite
22,Kalrez,A - Excellent,Zinc Hydrosulfite
23,Kel-F®,A - Excellent,Zinc Hydrosulfite
24,LDPE,A1 - Excellent,Zinc Hydrosulfite
25,Natural rubber,A - Excellent,Zinc Hydrosulfite
26,Neoprene,A - Excellent,Zinc Hydrosulfite
27,NORYL®,A1 - Excellent,Zinc Hydrosulfite
28,Nylon,A - Excellent,Zinc Hydrosulfite
29,Polycarbonate,A2 - Excellent,Zinc Hydrosulfite
30,Polyetherether Ketone (PEEK),A - Excellent,Zinc Hydrosulfite
31,Polypropylene,A - Excellent,Zinc Hydrosulfite
32,Polyurethane,B - Good,Zinc Hydrosulfite
33,PPS (Ryton®),A - Excellent,Zinc Hydrosulfite
34,PTFE,A - Excellent,Zinc Hydrosulfite
35,PVC,B - Good,Zinc Hydrosulfite
36,PVDF (Kynar®),A - Excellent,Zinc Hydrosulfite
37,Silicone,B - Good,Zinc Hydrosulfite
38,stainless steel - 304,B - Good,Zinc Hydrosulfite
39,stainless steel - 316,B - Good,Zinc Hydrosulfite
40,Titanium,A1 - Excellent,Zinc Hydrosulfite
41,Tygon®,A - Excellent,Zinc Hydrosulfite
42,Viton®,A - Excellent,Zinc Hydrosulfite
