,material,compatibility,chemical
0,,,Zinc Sulfate
1,ABS plastic,A - Excellent,Zinc Sulfate
2,Acetal (Delrin®),C - Fair,Zinc Sulfate
3,Aluminum,D - Poor,Zinc Sulfate
4,Brass,N/A,Zinc Sulfate
5,Bronze,N/A,Zinc Sulfate
6,Buna N (Nitrile),A - Excellent,Zinc Sulfate
7,Carbon graphite,N/A,Zinc Sulfate
8,Carbon Steel,N/A,Zinc Sulfate
9,Carpenter 20,D - Poor,Zinc Sulfate
10,Cast iron,D - Poor,Zinc Sulfate
11,Ceramic Al203,N/A,Zinc Sulfate
12,Ceramic magnet,N/A,Zinc Sulfate
13,ChemRaz (FFKM),A - Excellent,Zinc Sulfate
14,Copper,B - Good,Zinc Sulfate
15,CPVC,N/A,Zinc Sulfate
16,EPDM,A - Excellent,Zinc Sulfate
17,Epoxy,A - Excellent,Zinc Sulfate
18,Fluorocarbon (FKM),N/A,Zinc Sulfate
19,Hastelloy-C®,N/A,Zinc Sulfate
20,Hypalon®,N/A,Zinc Sulfate
21,Hytrel®,N/A,Zinc Sulfate
22,Kalrez,A - Excellent,Zinc Sulfate
23,Kel-F®,N/A,Zinc Sulfate
24,LDPE,N/A,Zinc Sulfate
25,Natural rubber,N/A,Zinc Sulfate
26,Neoprene,A - Excellent,Zinc Sulfate
27,NORYL®,A - Excellent,Zinc Sulfate
28,Nylon,A - Excellent,Zinc Sulfate
29,Polycarbonate,N/A,Zinc Sulfate
30,Polyetherether Ketone (PEEK),N/A,Zinc Sulfate
31,Polypropylene,N/A,Zinc Sulfate
32,Polyurethane,N/A,Zinc Sulfate
33,PPS (Ryton®),A - Excellent,Zinc Sulfate
34,PTFE,A - Excellent,Zinc Sulfate
35,PVC,N/A,Zinc Sulfate
36,PVDF (Kynar®),N/A,Zinc Sulfate
37,Silicone,N/A,Zinc Sulfate
38,stainless steel - 304,A - Excellent,Zinc Sulfate
39,stainless steel - 316,A - Excellent,Zinc Sulfate
40,Titanium,N/A,Zinc Sulfate
41,Tygon®,N/A,Zinc Sulfate
42,Viton®,N/A,Zinc Sulfate
